sfsg,lnd_vrl,,,sfsg__lnd_vrl Overall Landings (lbs)
sfsg,rv_vrll,,,sfsg__rv_vrll Overall Revenues (USD)
sfsg,lnd__bs,,,sfsg__lnd__bs Landings Brown shrimp (lbs)
sfsg,rev__bs,,,sfsg__rev__bs Revenues Brown shrimp (USD)
sfsg,lnd__ws,,,sfsg__lnd__ws Landings White shrimp (lbs)
sfsg,rev__ws,,,sfsg__rev__ws Revenues White shrimp (USD)
sfsg,land__s,,,sfsg__land__s Landings Seabobs (lbs)
sfsg,rev_e_s,,,sfsg__rev_e_s Revenues Seabobs (USD)
sfsg,lnd__rs,,,sfsg__lnd__rs Landings Rock shrimp (lbs)
sfsg,rev__rs,,,sfsg__rev__rs Revenues Rock shrimp (USD)
sfsg,land__t,,,sfsg__land__t Landings Trachypenaeus (lbs)
sfsg,rev_e_t,,,sfsg__rev_e_t Revenues Trachypenaeus (USD)
sfsg,lnd__ps,,,sfsg__lnd__ps Landings Pink shrimp (lbs)
sfsg,rev__ps,,,sfsg__rev__ps Revenues Pink shrimp (USD)
sfsg,ln__rrs,,,sfsg__ln__rrs Landings Royal red shrimp (lbs)
sfsg,rv__rrs,,,sfsg__rv__rrs Revenues Royal red shrimp (USD)
sfsg_t_2007_2014,lnd_vrl,,,sfsg_t_2007_2014__lnd_vrl Landings 2007-2014 (lbs)
sfsg_t_2007_2014,rv_vrll,,,sfsg_t_2007_2014__rv_vrll Revenues 2007-2014 (USD)
sfsg_t_2015_2021,lnd_vrl,,,sfsg_t_2015_2021__lnd_vrl Landings 2015-2021 (lbs)
sfsg_t_2015_2021,rv_vrll,,,sfsg_t_2015_2021__rv_vrll Revenues 2015-2021 (USD)
sfsg_s_fl,lnd_vrl,,,sfsg_s_fl__lnd_vrl Landings Florida (lbs)
sfsg_s_fl,rv_vrll,,,sfsg_s_fl__rv_vrll Revenues Florida (USD)
sfsg_s_al,lnd_vrl,,,sfsg_s_al__lnd_vrl Landings Alabama (lbs)
sfsg_s_al,rv_vrll,,,sfsg_s_al__rv_vrll Revenues Alabama (USD)
sfsg_s_ms,lnd_vrl,,,sfsg_s_ms__lnd_vrl Landings Mississippi (lbs)
sfsg_s_ms,rv_vrll,,,sfsg_s_ms__rv_vrll Revenues Mississippi (USD)
sfsg_s_la,lnd_vrl,,,sfsg_s_la__lnd_vrl Landings Louisiana (lbs)
sfsg_s_la,rv_vrll,,,sfsg_s_la__rv_vrll Revenues Louisiana (USD)
sfsg_s_tx,lnd_vrl,,,sfsg_s_tx__lnd_vrl Landings Texas (lbs)
sfsg_s_tx,rv_vrll,,,sfsg_s_tx__rv_vrll Revenues Texas (USD)
rfsg,lnd_vrl,,,rfsg__lnd_vrl Overall Landings (lbs)
rfsg,rv_vrll,,,rfsg__rv_vrll Overall Revenues (USD)
rfsg,lnd__rs,,,rfsg__lnd__rs Landings Red Snapper (lbs)
rfsg,rev__rs,,,rfsg__rev__rs Revenues Red Snapper (USD)
rfsg,lnd__ms,,,rfsg__lnd__ms Landings Mid-depth snapper group (lbs)
rfsg,rev__ms,,,rfsg__rev__ms Revenues Mid-depth snapper group (USD)
rfsg,lnd__ss,,,rfsg__lnd__ss Landings Shallow-water snapper group (lbs)
rfsg,rev__ss,,,rfsg__rev__ss Revenues Shallow-water snapper group (USD)
rfsg,lnd__sg,,,rfsg__lnd__sg Landings Shallow-water grouper group (lbs)
rfsg,rev__sg,,,rfsg__rev__sg Revenues Shallow-water grouper group (USD)
rfsg,lnd__dg,,,rfsg__lnd__dg Landings Deep-water grouper group (lbs)
rfsg,rev__dg,,,rfsg__rev__dg Revenues Deep-water grouper group (USD)
rfsg,lnd__tf,,,rfsg__lnd__tf Landings Tilefishes group (lbs)
rfsg,rev__tf,,,rfsg__rev__tf Revenues Tilefishes group (USD)
rfsg,lnd__ja,,,rfsg__lnd__ja Landings Jacks group (lbs)
rfsg,rev__ja,,,rfsg__rev__ja Revenues Jacks group (USD)
rfsg,lnd__tr,,,rfsg__lnd__tr Landings Triggerfishes group (lbs)
rfsg,rev__tr,,,rfsg__rev__tr Revenues Triggerfishes group (USD)
rfsg,lnd__gp,,,rfsg__lnd__gp Landings Grunts and porgies group (lbs)
rfsg,rev__gp,,,rfsg__rev__gp Revenues Grunts and porgies group (USD)
rfsg,lnd__cp,,,rfsg__lnd__cp Landings Coastal pelagics group (lbs)
rfsg,rev__cp,,,rfsg__rev__cp Revenues Coastal pelagics group (USD)
rfsg_t_2007_2014,lnd_vrl,,,rfsg_t_2007_2014__lnd_vrl Landings 2007-2014 (lbs)
rfsg_t_2007_2014,rv_vrll,,,rfsg_t_2007_2014__rv_vrll Revenues 2007-2014 (USD)
rfsg_t_2015_2021,lnd_vrl,,,rfsg_t_2015_2021__lnd_vrl Landings 2015-2021 (lbs)
rfsg_t_2015_2021,rv_vrll,,,rfsg_t_2015_2021__rv_vrll Revenues 2015-2021 (USD)
rfsg_s_fl,lnd_vrl,,,rfsg_s_fl__lnd_vrl Landings Florida (lbs)
rfsg_s_fl,rv_vrll,,,rfsg_s_fl__rv_vrll Revenues Florida (USD)
rfsg_s_al,lnd_vrl,,,rfsg_s_al__lnd_vrl Landings Alabama (lbs)
